pos	country_code	source	date	country_code3	region	variable	value	sdr_id	sdr_name	sdr_level
14	SL	"Government of Sierra Leone - Ministry of Health & Sanitation SitRep (Vol. 167)"	11/10/14	SLE	"Western area rural"	"new non-cases"	0	149746	"Western Area Rural"	ADM2
15	SL	"Government of Sierra Leone - Ministry of Health & Sanitation SitRep (Vol. 167)"	11/10/14	SLE	National	"new cases suspected"	0	0		
16	SL	"Government of Sierra Leone - Ministry of Health & Sanitation SitRep (Vol. 167)"	11/10/14	SLE	Kailahun	"new cases suspected"	0	8626	Kailahun	ADM2
17	SL	"Government of Sierra Leone - Ministry of Health & Sanitation SitRep (Vol. 167)"	11/10/14	SLE	Kenema	"new cases suspected"	0	8628	Kenema	ADM2
18	SL	"Government of Sierra Leone - Ministry of Health & Sanitation SitRep (Vol. 167)"	11/10/14	SLE	Kono	"new cases suspected"	0	8630	Kono	ADM2
19	SL	"Government of Sierra Leone - Ministry of Health & Sanitation SitRep (Vol. 167)"	11/10/14	SLE	Kambia	"new cases suspected"	0	8627	Kambia	ADM2
20	SL	"Government of Sierra Leone - Ministry of Health & Sanitation SitRep (Vol. 167)"	11/10/14	SLE	Koinadugu	"new cases suspected"	0	8629	Koinadugu	ADM2
21	SL	"Government of Sierra Leone - Ministry of Health & Sanitation SitRep (Vol. 167)"	11/10/14	SLE	Bombali	"new cases suspected"	0	8623	Bombali	ADM2
22	SL	"Government of Sierra Leone - Ministry of Health & Sanitation SitRep (Vol. 167)"	11/10/14	SLE	Tonkolili	"new cases suspected"	0	8634	Tonkolili	ADM2
23	SL	"Government of Sierra Leone - Ministry of Health & Sanitation SitRep (Vol. 167)"	11/10/14	SLE	"Port Loko"	"new cases suspected"	0	8632	"Port Loko"	ADM2
24	SL	"Government of Sierra Leone - Ministry of Health & Sanitation SitRep (Vol. 167)"	11/10/14	SLE	Pujehun	"new cases suspected"	0	8633	Pujehun	ADM2
25	SL	"Government of Sierra Leone - Ministry of Health & Sanitation SitRep (Vol. 167)"	11/10/14	SLE	Bo	"new cases suspected"	0	8625	Bo	ADM2
26	SL	"Government of Sierra Leone - Ministry of Health & Sanitation SitRep (Vol. 167)"	11/10/14	SLE	Moyamba	"new cases suspected"	0	8631	Moyamba	ADM2
27	SL	"Government of Sierra Leone - Ministry of Health & Sanitation SitRep (Vol. 167)"	11/10/14	SLE	Bonthe	"new cases suspected"	0	8624	Bonthe	ADM2
28	SL	"Government of Sierra Leone - Ministry of Health & Sanitation SitRep (Vol. 167)"	11/10/14	SLE	"Western area urban"	"new cases suspected"	0	149745	"Western Area Urban"	ADM2
29	SL	"Government of Sierra Leone - Ministry of Health & Sanitation SitRep (Vol. 167)"	11/10/14	SLE	"Western area rural"	"new cases suspected"	0	149746	"Western Area Rural"	ADM2
30	SL	"Government of Sierra Leone - Ministry of Health & Sanitation SitRep (Vol. 167)"	11/10/14	SLE	National	"new cases probable"	0	0		
31	SL	"Government of Sierra Leone - Ministry of Health & Sanitation SitRep (Vol. 167)"	11/10/14	SLE	Kailahun	"new cases probable"	0	8626	Kailahun	ADM2
32	SL	"Government of Sierra Leone - Ministry of Health & Sanitation SitRep (Vol. 167)"	11/10/14	SLE	Kenema	"new cases probable"	0	8628	Kenema	ADM2
33	SL	"Government of Sierra Leone - Ministry of Health & Sanitation SitRep (Vol. 167)"	11/10/14	SLE	Kono	"new cases probable"	0	8630	Kono	ADM2
34	SL	"Government of Sierra Leone - Ministry of Health & Sanitation SitRep (Vol. 167)"	11/10/14	SLE	Kambia	"new cases probable"	0	8627	Kambia	ADM2
35	SL	"Government of Sierra Leone - Ministry of Health & Sanitation SitRep (Vol. 167)"	11/10/14	SLE	Koinadugu	"new cases probable"	0	8629	Koinadugu	ADM2
36	SL	"Government of Sierra Leone - Ministry of Health & Sanitation SitRep (Vol. 167)"	11/10/14	SLE	Bombali	"new cases probable"	0	8623	Bombali	ADM2
37	SL	"Government of Sierra Leone - Ministry of Health & Sanitation SitRep (Vol. 167)"	11/10/14	SLE	Tonkolili	"new cases probable"	0	8634	Tonkolili	ADM2
38	SL	"Government of Sierra Leone - Ministry of Health & Sanitation SitRep (Vol. 167)"	11/10/14	SLE	"Port Loko"	"new cases probable"	0	8632	"Port Loko"	ADM2
39	SL	"Government of Sierra Leone - Ministry of Health & Sanitation SitRep (Vol. 167)"	11/10/14	SLE	Pujehun	"new cases probable"	0	8633	Pujehun	ADM2
40	SL	"Government of Sierra Leone - Ministry of Health & Sanitation SitRep (Vol. 167)"	11/10/14	SLE	Bo	"new cases probable"	0	8625	Bo	ADM2
41	SL	"Government of Sierra Leone - Ministry of Health & Sanitation SitRep (Vol. 167)"	11/10/14	SLE	Moyamba	"new cases probable"	0	8631	Moyamba	ADM2
42	SL	"Government of Sierra Leone - Ministry of Health & Sanitation SitRep (Vol. 167)"	11/10/14	SLE	Bonthe	"new cases probable"	0	8624	Bonthe	ADM2
43	SL	"Government of Sierra Leone - Ministry of Health & Sanitation SitRep (Vol. 167)"	11/10/14	SLE	"Western area urban"	"new cases probable"	0	149745	"Western Area Urban"	ADM2
44	SL	"Government of Sierra Leone - Ministry of Health & Sanitation SitRep (Vol. 167)"	11/10/14	SLE	"Western area rural"	"new cases probable"	0	149746	"Western Area Rural"	ADM2
45	SL	"Government of Sierra Leone - Ministry of Health & Sanitation SitRep (Vol. 167)"	11/10/14	SLE	National	"new cases confirmed"	0	0		
46	SL	"Government of Sierra Leone - Ministry of Health & Sanitation SitRep (Vol. 167)"	11/10/14	SLE	Kailahun	"new cases confirmed"	0	8626	Kailahun	ADM2
47	SL	"Government of Sierra Leone - Ministry of Health & Sanitation SitRep (Vol. 167)"	11/10/14	SLE	Kenema	"new cases confirmed"	0	8628	Kenema	ADM2
48	SL	"Government of Sierra Leone - Ministry of Health & Sanitation SitRep (Vol. 167)"	11/10/14	SLE	Kono	"new cases confirmed"	0	8630	Kono	ADM2
49	SL	"Government of Sierra Leone - Ministry of Health & Sanitation SitRep (Vol. 167)"	11/10/14	SLE	Kambia	"new cases confirmed"	0	8627	Kambia	ADM2
50	SL	"Government of Sierra Leone - Ministry of Health & Sanitation SitRep (Vol. 167)"	11/10/14	SLE	Koinadugu	"new cases confirmed"	9	8629	Koinadugu	ADM2
51	SL	"Government of Sierra Leone - Ministry of Health & Sanitation SitRep (Vol. 167)"	11/10/14	SLE	Bombali	"new cases confirmed"	12	8623	Bombali	ADM2
52	SL	"Government of Sierra Leone - Ministry of Health & Sanitation SitRep (Vol. 167)"	11/10/14	SLE	Tonkolili	"new cases confirmed"	29	8634	Tonkolili	ADM2
53	SL	"Government of Sierra Leone - Ministry of Health & Sanitation SitRep (Vol. 167)"	11/10/14	SLE	"Port Loko"	"new cases confirmed"	0	8632	"Port Loko"	ADM2
54	SL	"Government of Sierra Leone - Ministry of Health & Sanitation SitRep (Vol. 167)"	11/10/14	SLE	Pujehun	"new cases confirmed"	1	8633	Pujehun	ADM2
55	SL	"Government of Sierra Leone - Ministry of Health & Sanitation SitRep (Vol. 167)"	11/10/14	SLE	Bo	"new cases confirmed"	2	8625	Bo	ADM2
56	SL	"Government of Sierra Leone - Ministry of Health & Sanitation SitRep (Vol. 167)"	11/10/14	SLE	Moyamba	"new cases confirmed"	0	8631	Moyamba	ADM2
57	SL	"Government of Sierra Leone - Ministry of Health & Sanitation SitRep (Vol. 167)"	11/10/14	SLE	Bonthe	"new cases confirmed"	29	8624	Bonthe	ADM2
58	SL	"Government of Sierra Leone - Ministry of Health & Sanitation SitRep (Vol. 167)"	11/10/14	SLE	"Western area urban"	"new cases confirmed"	8	149745	"Western Area Urban"	ADM2
59	SL	"Government of Sierra Leone - Ministry of Health & Sanitation SitRep (Vol. 167)"	11/10/14	SLE	"Western area rural"	"new cases confirmed"	90	149746	"Western Area Rural"	ADM2
60	SL	"Government of Sierra Leone - Ministry of Health & Sanitation SitRep (Vol. 167)"	11/10/14	SLE	National	"cumulative non-cases"	0	0		
61	SL	"Government of Sierra Leone - Ministry of Health & Sanitation SitRep (Vol. 167)"	11/10/14	SLE	Kailahun	"cumulative non-cases"	0	8626	Kailahun	ADM2
62	SL	"Government of Sierra Leone - Ministry of Health & Sanitation SitRep (Vol. 167)"	11/10/14	SLE	Kenema	"cumulative non-cases"	0	8628	Kenema	ADM2
63	SL	"Government of Sierra Leone - Ministry of Health & Sanitation SitRep (Vol. 167)"	11/10/14	SLE	Kono	"cumulative non-cases"	0	8630	Kono	ADM2
64	SL	"Government of Sierra Leone - Ministry of Health & Sanitation SitRep (Vol. 167)"	11/10/14	SLE	Kambia	"cumulative non-cases"	0	8627	Kambia	ADM2
65	SL	"Government of Sierra Leone - Ministry of Health & Sanitation SitRep (Vol. 167)"	11/10/14	SLE	Koinadugu	"cumulative non-cases"	0	8629	Koinadugu	ADM2
66	SL	"Government of Sierra Leone - Ministry of Health & Sanitation SitRep (Vol. 167)"	11/10/14	SLE	Bombali	"cumulative non-cases"	0	8623	Bombali	ADM2
67	SL	"Government of Sierra Leone - Ministry of Health & Sanitation SitRep (Vol. 167)"	11/10/14	SLE	Tonkolili	"cumulative non-cases"	0	8634	Tonkolili	ADM2
68	SL	"Government of Sierra Leone - Ministry of Health & Sanitation SitRep (Vol. 167)"	11/10/14	SLE	"Port Loko"	"cumulative non-cases"	0	8632	"Port Loko"	ADM2
69	SL	"Government of Sierra Leone - Ministry of Health & Sanitation SitRep (Vol. 167)"	11/10/14	SLE	Pujehun	"cumulative non-cases"	0	8633	Pujehun	ADM2
70	SL	"Government of Sierra Leone - Ministry of Health & Sanitation SitRep (Vol. 167)"	11/10/14	SLE	Bo	"cumulative non-cases"	0	8625	Bo	ADM2
71	SL	"Government of Sierra Leone - Ministry of Health & Sanitation SitRep (Vol. 167)"	11/10/14	SLE	Moyamba	"cumulative non-cases"	0	8631	Moyamba	ADM2
72	SL	"Government of Sierra Leone - Ministry of Health & Sanitation SitRep (Vol. 167)"	11/10/14	SLE	Bonthe	"cumulative non-cases"	0	8624	Bonthe	ADM2
73	SL	"Government of Sierra Leone - Ministry of Health & Sanitation SitRep (Vol. 167)"	11/10/14	SLE	"Western area urban"	"cumulative non-cases"	0	149745	"Western Area Urban"	ADM2
74	SL	"Government of Sierra Leone - Ministry of Health & Sanitation SitRep (Vol. 167)"	11/10/14	SLE	"Western area rural"	"cumulative non-cases"	0	149746	"Western Area Rural"	ADM2
75	SL	"Government of Sierra Leone - Ministry of Health & Sanitation SitRep (Vol. 167)"	11/10/14	SLE	National	"cumulative cases suspected"	0	0		
76	SL	"Government of Sierra Leone - Ministry of Health & Sanitation SitRep (Vol. 167)"	11/10/14	SLE	Kailahun	"cumulative cases suspected"	0	8626	Kailahun	ADM2
77	SL	"Government of Sierra Leone - Ministry of Health & Sanitation SitRep (Vol. 167)"	11/10/14	SLE	Kenema	"cumulative cases suspected"	0	8628	Kenema	ADM2
78	SL	"Government of Sierra Leone - Ministry of Health & Sanitation SitRep (Vol. 167)"	11/10/14	SLE	Kono	"cumulative cases suspected"	0	8630	Kono	ADM2
79	SL	"Government of Sierra Leone - Ministry of Health & Sanitation SitRep (Vol. 167)"	11/10/14	SLE	Kambia	"cumulative cases suspected"	0	8627	Kambia	ADM2
80	SL	"Government of Sierra Leone - Ministry of Health & Sanitation SitRep (Vol. 167)"	11/10/14	SLE	Koinadugu	"cumulative cases suspected"	0	8629	Koinadugu	ADM2
81	SL	"Government of Sierra Leone - Ministry of Health & Sanitation SitRep (Vol. 167)"	11/10/14	SLE	Bombali	"cumulative cases suspected"	0	8623	Bombali	ADM2
82	SL	"Government of Sierra Leone - Ministry of Health & Sanitation SitRep (Vol. 167)"	11/10/14	SLE	Tonkolili	"cumulative cases suspected"	0	8634	Tonkolili	ADM2
83	SL	"Government of Sierra Leone - Ministry of Health & Sanitation SitRep (Vol. 167)"	11/10/14	SLE	"Port Loko"	"cumulative cases suspected"	0	8632	"Port Loko"	ADM2
84	SL	"Government of Sierra Leone - Ministry of Health & Sanitation SitRep (Vol. 167)"	11/10/14	SLE	Pujehun	"cumulative cases suspected"	0	8633	Pujehun	ADM2
85	SL	"Government of Sierra Leone - Ministry of Health & Sanitation SitRep (Vol. 167)"	11/10/14	SLE	Bo	"cumulative cases suspected"	0	8625	Bo	ADM2
86	SL	"Government of Sierra Leone - Ministry of Health & Sanitation SitRep (Vol. 167)"	11/10/14	SLE	Moyamba	"cumulative cases suspected"	0	8631	Moyamba	ADM2
87	SL	"Government of Sierra Leone - Ministry of Health & Sanitation SitRep (Vol. 167)"	11/10/14	SLE	Bonthe	"cumulative cases suspected"	0	8624	Bonthe	ADM2
88	SL	"Government of Sierra Leone - Ministry of Health & Sanitation SitRep (Vol. 167)"	11/10/14	SLE	"Western area urban"	"cumulative cases suspected"	0	149745	"Western Area Urban"	ADM2
89	SL	"Government of Sierra Leone - Ministry of Health & Sanitation SitRep (Vol. 167)"	11/10/14	SLE	"Western area rural"	"cumulative cases suspected"	766	149746	"Western Area Rural"	ADM2
90	SL	"Government of Sierra Leone - Ministry of Health & Sanitation SitRep (Vol. 167)"	11/10/14	SLE	National	"cumulative cases probable"	0	0		
91	SL	"Government of Sierra Leone - Ministry of Health & Sanitation SitRep (Vol. 167)"	11/10/14	SLE	Kailahun	"cumulative cases probable"	0	8626	Kailahun	ADM2
92	SL	"Government of Sierra Leone - Ministry of Health & Sanitation SitRep (Vol. 167)"	11/10/14	SLE	Kenema	"cumulative cases probable"	0	8628	Kenema	ADM2
93	SL	"Government of Sierra Leone - Ministry of Health & Sanitation SitRep (Vol. 167)"	11/10/14	SLE	Kono	"cumulative cases probable"	0	8630	Kono	ADM2
94	SL	"Government of Sierra Leone - Ministry of Health & Sanitation SitRep (Vol. 167)"	11/10/14	SLE	Kambia	"cumulative cases probable"	0	8627	Kambia	ADM2
95	SL	"Government of Sierra Leone - Ministry of Health & Sanitation SitRep (Vol. 167)"	11/10/14	SLE	Koinadugu	"cumulative cases probable"	0	8629	Koinadugu	ADM2
96	SL	"Government of Sierra Leone - Ministry of Health & Sanitation SitRep (Vol. 167)"	11/10/14	SLE	Bombali	"cumulative cases probable"	0	8623	Bombali	ADM2
97	SL	"Government of Sierra Leone - Ministry of Health & Sanitation SitRep (Vol. 167)"	11/10/14	SLE	Tonkolili	"cumulative cases probable"	0	8634	Tonkolili	ADM2
98	SL	"Government of Sierra Leone - Ministry of Health & Sanitation SitRep (Vol. 167)"	11/10/14	SLE	"Port Loko"	"cumulative cases probable"	0	8632	"Port Loko"	ADM2
99	SL	"Government of Sierra Leone - Ministry of Health & Sanitation SitRep (Vol. 167)"	11/10/14	SLE	Pujehun	"cumulative cases probable"	0	8633	Pujehun	ADM2
100	SL	"Government of Sierra Leone - Ministry of Health & Sanitation SitRep (Vol. 167)"	11/10/14	SLE	Bo	"cumulative cases probable"	0	8625	Bo	ADM2
101	SL	"Government of Sierra Leone - Ministry of Health & Sanitation SitRep (Vol. 167)"	11/10/14	SLE	Moyamba	"cumulative cases probable"	0	8631	Moyamba	ADM2
102	SL	"Government of Sierra Leone - Ministry of Health & Sanitation SitRep (Vol. 167)"	11/10/14	SLE	Bonthe	"cumulative cases probable"	0	8624	Bonthe	ADM2
103	SL	"Government of Sierra Leone - Ministry of Health & Sanitation SitRep (Vol. 167)"	11/10/14	SLE	"Western area urban"	"cumulative cases probable"	0	149745	"Western Area Urban"	ADM2
104	SL	"Government of Sierra Leone - Ministry of Health & Sanitation SitRep (Vol. 167)"	11/10/14	SLE	"Western area rural"	"cumulative cases probable"	79	149746	"Western Area Rural"	ADM2
105	SL	"Government of Sierra Leone - Ministry of Health & Sanitation SitRep (Vol. 167)"	11/10/14	SLE	National	"cumulative cases confirmed"	558	0		
106	SL	"Government of Sierra Leone - Ministry of Health & Sanitation SitRep (Vol. 167)"	11/10/14	SLE	Kailahun	"cumulative cases confirmed"	493	8626	Kailahun	ADM2
107	SL	"Government of Sierra Leone - Ministry of Health & Sanitation SitRep (Vol. 167)"	11/10/14	SLE	Kenema	"cumulative cases confirmed"	45	8628	Kenema	ADM2
108	SL	"Government of Sierra Leone - Ministry of Health & Sanitation SitRep (Vol. 167)"	11/10/14	SLE	Kono	"cumulative cases confirmed"	52	8630	Kono	ADM2
109	SL	"Government of Sierra Leone - Ministry of Health & Sanitation SitRep (Vol. 167)"	11/10/14	SLE	Kambia	"cumulative cases confirmed"	48	8627	Kambia	ADM2
110	SL	"Government of Sierra Leone - Ministry of Health & Sanitation SitRep (Vol. 167)"	11/10/14	SLE	Koinadugu	"cumulative cases confirmed"	657	8629	Koinadugu	ADM2
111	SL	"Government of Sierra Leone - Ministry of Health & Sanitation SitRep (Vol. 167)"	11/10/14	SLE	Bombali	"cumulative cases confirmed"	273	8623	Bombali	ADM2
112	SL	"Government of Sierra Leone - Ministry of Health & Sanitation SitRep (Vol. 167)"	11/10/14	SLE	Tonkolili	"cumulative cases confirmed"	625	8634	Tonkolili	ADM2
113	SL	"Government of Sierra Leone - Ministry of Health & Sanitation SitRep (Vol. 167)"	11/10/14	SLE	"Port Loko"	"cumulative cases confirmed"	28	8632	"Port Loko"	ADM2
114	SL	"Government of Sierra Leone - Ministry of Health & Sanitation SitRep (Vol. 167)"	11/10/14	SLE	Pujehun	"cumulative cases confirmed"	189	8633	Pujehun	ADM2
115	SL	"Government of Sierra Leone - Ministry of Health & Sanitation SitRep (Vol. 167)"	11/10/14	SLE	Bo	"cumulative cases confirmed"	137	8625	Bo	ADM2
116	SL	"Government of Sierra Leone - Ministry of Health & Sanitation SitRep (Vol. 167)"	11/10/14	SLE	Moyamba	"cumulative cases confirmed"	2	8631	Moyamba	ADM2
117	SL	"Government of Sierra Leone - Ministry of Health & Sanitation SitRep (Vol. 167)"	11/10/14	SLE	Bonthe	"cumulative cases confirmed"	807	8624	Bonthe	ADM2
118	SL	"Government of Sierra Leone - Ministry of Health & Sanitation SitRep (Vol. 167)"	11/10/14	SLE	"Western area urban"	"cumulative cases confirmed"	609	149745	"Western Area Urban"	ADM2
119	SL	"Government of Sierra Leone - Ministry of Health & Sanitation SitRep (Vol. 167)"	11/10/14	SLE	"Western area rural"	"cumulative cases confirmed"	4523	149746	"Western Area Rural"	ADM2
120	SL	"Government of Sierra Leone - Ministry of Health & Sanitation SitRep (Vol. 167)"	11/10/14	SLE	National	"cumulative deaths suspected"	0	0		
121	SL	"Government of Sierra Leone - Ministry of Health & Sanitation SitRep (Vol. 167)"	11/10/14	SLE	Kailahun	"cumulative deaths suspected"	0	8626	Kailahun	ADM2
122	SL	"Government of Sierra Leone - Ministry of Health & Sanitation SitRep (Vol. 167)"	11/10/14	SLE	Kenema	"cumulative deaths suspected"	0	8628	Kenema	ADM2
123	SL	"Government of Sierra Leone - Ministry of Health & Sanitation SitRep (Vol. 167)"	11/10/14	SLE	Kono	"cumulative deaths suspected"	0	8630	Kono	ADM2
124	SL	"Government of Sierra Leone - Ministry of Health & Sanitation SitRep (Vol. 167)"	11/10/14	SLE	Kambia	"cumulative deaths suspected"	0	8627	Kambia	ADM2
125	SL	"Government of Sierra Leone - Ministry of Health & Sanitation SitRep (Vol. 167)"	11/10/14	SLE	Koinadugu	"cumulative deaths suspected"	0	8629	Koinadugu	ADM2
126	SL	"Government of Sierra Leone - Ministry of Health & Sanitation SitRep (Vol. 167)"	11/10/14	SLE	Bombali	"cumulative deaths suspected"	0	8623	Bombali	ADM2
127	SL	"Government of Sierra Leone - Ministry of Health & Sanitation SitRep (Vol. 167)"	11/10/14	SLE	Tonkolili	"cumulative deaths suspected"	0	8634	Tonkolili	ADM2
128	SL	"Government of Sierra Leone - Ministry of Health & Sanitation SitRep (Vol. 167)"	11/10/14	SLE	"Port Loko"	"cumulative deaths suspected"	0	8632	"Port Loko"	ADM2
129	SL	"Government of Sierra Leone - Ministry of Health & Sanitation SitRep (Vol. 167)"	11/10/14	SLE	Pujehun	"cumulative deaths suspected"	0	8633	Pujehun	ADM2
130	SL	"Government of Sierra Leone - Ministry of Health & Sanitation SitRep (Vol. 167)"	11/10/14	SLE	Bo	"cumulative deaths suspected"	0	8625	Bo	ADM2
131	SL	"Government of Sierra Leone - Ministry of Health & Sanitation SitRep (Vol. 167)"	11/10/14	SLE	Moyamba	"cumulative deaths suspected"	0	8631	Moyamba	ADM2
132	SL	"Government of Sierra Leone - Ministry of Health & Sanitation SitRep (Vol. 167)"	11/10/14	SLE	Bonthe	"cumulative deaths suspected"	0	8624	Bonthe	ADM2
133	SL	"Government of Sierra Leone - Ministry of Health & Sanitation SitRep (Vol. 167)"	11/10/14	SLE	"Western area urban"	"cumulative deaths suspected"	0	149745	"Western Area Urban"	ADM2
134	SL	"Government of Sierra Leone - Ministry of Health & Sanitation SitRep (Vol. 167)"	11/10/14	SLE	"Western area rural"	"cumulative deaths suspected"	0	149746	"Western Area Rural"	ADM2
135	SL	"Government of Sierra Leone - Ministry of Health & Sanitation SitRep (Vol. 167)"	11/10/14	SLE	National	"cumulative deaths probable"	0	0		
136	SL	"Government of Sierra Leone - Ministry of Health & Sanitation SitRep (Vol. 167)"	11/10/14	SLE	Kailahun	"cumulative deaths probable"	0	8626	Kailahun	ADM2
137	SL	"Government of Sierra Leone - Ministry of Health & Sanitation SitRep (Vol. 167)"	11/10/14	SLE	Kenema	"cumulative deaths probable"	0	8628	Kenema	ADM2
138	SL	"Government of Sierra Leone - Ministry of Health & Sanitation SitRep (Vol. 167)"	11/10/14	SLE	Kono	"cumulative deaths probable"	0	8630	Kono	ADM2
139	SL	"Government of Sierra Leone - Ministry of Health & Sanitation SitRep (Vol. 167)"	11/10/14	SLE	Kambia	"cumulative deaths probable"	0	8627	Kambia	ADM2
140	SL	"Government of Sierra Leone - Ministry of Health & Sanitation SitRep (Vol. 167)"	11/10/14	SLE	Koinadugu	"cumulative deaths probable"	0	8629	Koinadugu	ADM2
141	SL	"Government of Sierra Leone - Ministry of Health & Sanitation SitRep (Vol. 167)"	11/10/14	SLE	Bombali	"cumulative deaths probable"	0	8623	Bombali	ADM2
142	SL	"Government of Sierra Leone - Ministry of Health & Sanitation SitRep (Vol. 167)"	11/10/14	SLE	Tonkolili	"cumulative deaths probable"	0	8634	Tonkolili	ADM2
143	SL	"Government of Sierra Leone - Ministry of Health & Sanitation SitRep (Vol. 167)"	11/10/14	SLE	"Port Loko"	"cumulative deaths probable"	0	8632	"Port Loko"	ADM2
144	SL	"Government of Sierra Leone - Ministry of Health & Sanitation SitRep (Vol. 167)"	11/10/14	SLE	Pujehun	"cumulative deaths probable"	0	8633	Pujehun	ADM2
145	SL	"Government of Sierra Leone - Ministry of Health & Sanitation SitRep (Vol. 167)"	11/10/14	SLE	Bo	"cumulative deaths probable"	0	8625	Bo	ADM2
146	SL	"Government of Sierra Leone - Ministry of Health & Sanitation SitRep (Vol. 167)"	11/10/14	SLE	Moyamba	"cumulative deaths probable"	0	8631	Moyamba	ADM2
147	SL	"Government of Sierra Leone - Ministry of Health & Sanitation SitRep (Vol. 167)"	11/10/14	SLE	Bonthe	"cumulative deaths probable"	0	8624	Bonthe	ADM2
148	SL	"Government of Sierra Leone - Ministry of Health & Sanitation SitRep (Vol. 167)"	11/10/14	SLE	"Western area urban"	"cumulative deaths probable"	0	149745	"Western Area Urban"	ADM2
149	SL	"Government of Sierra Leone - Ministry of Health & Sanitation SitRep (Vol. 167)"	11/10/14	SLE	"Western area rural"	"cumulative deaths probable"	208	149746	"Western Area Rural"	ADM2
150	SL	"Government of Sierra Leone - Ministry of Health & Sanitation SitRep (Vol. 167)"	11/10/14	SLE	National	"cumulative deaths confirmed"	0	0		
151	SL	"Government of Sierra Leone - Ministry of Health & Sanitation SitRep (Vol. 167)"	11/10/14	SLE	Kailahun	"cumulative deaths confirmed"	0	8626	Kailahun	ADM2
152	SL	"Government of Sierra Leone - Ministry of Health & Sanitation SitRep (Vol. 167)"	11/10/14	SLE	Kenema	"cumulative deaths confirmed"	0	8628	Kenema	ADM2
153	SL	"Government of Sierra Leone - Ministry of Health & Sanitation SitRep (Vol. 167)"	11/10/14	SLE	Kono	"cumulative deaths confirmed"	0	8630	Kono	ADM2
154	SL	"Government of Sierra Leone - Ministry of Health & Sanitation SitRep (Vol. 167)"	11/10/14	SLE	Kambia	"cumulative deaths confirmed"	0	8627	Kambia	ADM2
155	SL	"Government of Sierra Leone - Ministry of Health & Sanitation SitRep (Vol. 167)"	11/10/14	SLE	Koinadugu	"cumulative deaths confirmed"	0	8629	Koinadugu	ADM2
156	SL	"Government of Sierra Leone - Ministry of Health & Sanitation SitRep (Vol. 167)"	11/10/14	SLE	Bombali	"cumulative deaths confirmed"	0	8623	Bombali	ADM2
157	SL	"Government of Sierra Leone - Ministry of Health & Sanitation SitRep (Vol. 167)"	11/10/14	SLE	Tonkolili	"cumulative deaths confirmed"	0	8634	Tonkolili	ADM2
158	SL	"Government of Sierra Leone - Ministry of Health & Sanitation SitRep (Vol. 167)"	11/10/14	SLE	"Port Loko"	"cumulative deaths confirmed"	0	8632	"Port Loko"	ADM2
159	SL	"Government of Sierra Leone - Ministry of Health & Sanitation SitRep (Vol. 167)"	11/10/14	SLE	Pujehun	"cumulative deaths confirmed"	0	8633	Pujehun	ADM2
160	SL	"Government of Sierra Leone - Ministry of Health & Sanitation SitRep (Vol. 167)"	11/10/14	SLE	Bo	"cumulative deaths confirmed"	0	8625	Bo	ADM2
