Are_PMTCT	Attribute1	Attribute2	Attribute3	Contacts	County	CreationDate	Creator	Deaths	District	Do_facilit	EditDate	Editor	Facility_I	Funding	GOL_facili	GlobalID	HIV_care_a	Head_Docto	Lat	Lon	Patients	Which_cell	X_PROJ	Y_PROJ	a_TB_diagn	beds	facility_n	facility_t	OBJECTID	geometry	country_code	sdr_id	sdr_name	sdr_level
Y			0	6824128.00	Bomi	"0000-00-00 00:00:00"	davidjhealy	0	Klay	N	"0000-00-00 00:00:00"	davidjhealy	LR03-000003	MTI	Y	b9026184-45df-4105-8c49-f9fe46eb62fb	N/A	"Sharley K. Kaialen"	-10.89	6.58	0	None	291152.58	728134.62	Y	N/A	Sasstown	Clinic	12	"""{\""type\"":\""Point\"",\""coordinates\"":[-10.888900000372,6.5837999997561],\""crs\"":{\""type\"":\""name\"",\""properties\"":{\""name\"":\""EPSG:4326\""}}}"""	LR	6925	Klay	ADM1
Y			0	6835066.00	Bomi	"0000-00-00 00:00:00"	davidjhealy	0	Dewoin	N	"0000-00-00 00:00:00"	davidjhealy	LR03-000004	MTI	Y	9db9d179-c455-4230-8b6d-33b2739febf4	N/A	"Joseph F. Kanneh"	-10.85	6.54	0	Lonestar;Cellcom	295082.17	722987.93	Y	N/A	"Jenneh #3"	Clinic	13	"""{\""type\"":\""Point\"",\""coordinates\"":[-10.853199999667,6.5373999995489],\""crs\"":{\""type\"":\""name\"",\""properties\"":{\""name\"":\""EPSG:4326\""}}}"""	LR	0		
Y			0	6553673.00	Bomi	"0000-00-00 00:00:00"	davidjhealy	0	Dewoin	N	"0000-00-00 00:00:00"	davidjhealy	LR03-000005	"MOHSW only"	Y	3c815e98-31bc-40d6-bda7-45f33217659e	N/A	"William Obanto Kanneh"	-10.95	6.57	0	None	284874.17	726355.79	N	N/A	"Dagweh Town"	Clinic	14	"""{\""type\"":\""Point\"",\""coordinates\"":[-10.945600000278,6.5674999997165],\""crs\"":{\""type\"":\""name\"",\""properties\"":{\""name\"":\""EPSG:4326\""}}}"""	LR	0		
Y			0	76201691.00	Bomi	"0000-00-00 00:00:00"	davidjhealy	0	Senjeh	N	"0000-00-00 00:00:00"	davidjhealy	LR03-000010	"MOHSW only"	Y	b85c9bc8-1090-413e-b8c9-0be7297bccf6	N/A	"Princess S. Nyumah"	-10.90	6.86	0	None	290099.81	758953.55	N	N/A	Befine	Clinic	15	"""{\""type\"":\""Point\"",\""coordinates\"":[-10.899500000218,6.8623999998936],\""crs\"":{\""type\"":\""name\"",\""properties\"":{\""name\"":\""EPSG:4326\""}}}"""	LR	7432	Senjeh	ADM1
Y			0	76192782.00	Bomi	"0000-00-00 00:00:00"	davidjhealy	0	Senjeh	N	"0000-00-00 00:00:00"	davidjhealy	LR03-000011	"MOHSW only"	Y	8851556b-9b0a-4405-a3f4-539614f20da3	N/A	"Bofa Veronica Jallah"	-10.93	6.98	0	None	286812.44	771542.96	N	N/A	"Sackie Town"	Clinic	16	"""{\""type\"":\""Point\"",\""coordinates\"":[-10.929699999929,6.9760999999846],\""crs\"":{\""type\"":\""name\"",\""properties\"":{\""name\"":\""EPSG:4326\""}}}"""	LR	7432	Senjeh	ADM1
Y			0	6894507.00	Bomi	"0000-00-00 00:00:00"	davidjhealy	0	Klay	N	"0000-00-00 00:00:00"	davidjhealy	LR03-000020	AHA	Y	bae488f3-66af-47f0-b8f1-d9a7b50f5062	N/A	"Philip Lormbeh"	-10.78	6.68	0	None	302957.28	738299.50	N	N/A	Zordee	Clinic	17	"""{\""type\"":\""Point\"",\""coordinates\"":[-10.782499999783,6.6761000003546],\""crs\"":{\""type\"":\""name\"",\""properties\"":{\""name\"":\""EPSG:4326\""}}}"""	LR	6925	Klay	ADM1
N			0	6404634.00	Bomi	"0000-00-00 00:00:00"	davidjhealy	0	Mecca	N	"0000-00-00 00:00:00"	davidjhealy	LR03-000021	"MOHSW only"	Y	80dfb1bf-e86a-49ac-a8a9-43bce8407c33	N/A	"Elizabeth B. Joe"	-10.74	6.65	0	None	307536.73	735595.64	N	N/A	"Fefeh Town"	Clinic	18	"""{\""type\"":\""Point\"",\""coordinates\"":[-10.741000000254,6.6518000000569],\""crs\"":{\""type\"":\""name\"",\""properties\"":{\""name\"":\""EPSG:4326\""}}}"""	LR	7082	Macca	ADM1
Y			0	6832959.00	Bomi	"0000-00-00 00:00:00"	davidjhealy	0	Mecca	N	"0000-00-00 00:00:00"	davidjhealy	LR03-000016	"MOHSW only"	Y	198dd650-b68b-4b25-8099-9622d5c03d2e	N/A	"William T. Foday"	-10.58	6.83	0	None	325481.18	755385.88	N	N/A	Mecca	Clinic	19	"""{\""type\"":\""Point\"",\""coordinates\"":[-10.579299999727,6.8313000000103],\""crs\"":{\""type\"":\""name\"",\""properties\"":{\""name\"":\""EPSG:4326\""}}}"""	LR	7082	Macca	ADM1
Y			0	6837869.00	Bomi	"0000-00-00 00:00:00"	davidjhealy	0	Mecca	N	"0000-00-00 00:00:00"	davidjhealy	LR03-000023	"MOHSW only"	Y	5a18c9a7-82f0-4200-ba02-e5e7d87075b1	N/A	"Tamba A. Borbor"	-10.70	6.63	0	None	311828.82	732826.90	Y	N/A	Suehn	Clinic	20	"""{\""type\"":\""Point\"",\""coordinates\"":[-10.702099999578,6.6268999996635],\""crs\"":{\""type\"":\""name\"",\""properties\"":{\""name\"":\""EPSG:4326\""}}}"""	LR	7082	Macca	ADM1
Y			0	77898115.00	Bomi	"0000-00-00 00:00:00"	davidjhealy	0	Mecca	N	"0000-00-00 00:00:00"	davidjhealy	LR03-000022	"MOHSW only"	Y	ad250ff9-1411-4ca9-975e-4df3624f164c	N/A	"Bendu P. Toukolon"	-10.77	6.62	0	None	303898.64	732533.94	N	N/A	Weawolo	Clinic	21	"""{\""type\"":\""Point\"",\""coordinates\"":[-10.77380000025,6.6240000003358],\""crs\"":{\""type\"":\""name\"",\""properties\"":{\""name\"":\""EPSG:4326\""}}}"""	LR	7082	Macca	ADM1
Y			0	6552117.00	Bomi	"0000-00-00 00:00:00"	davidjhealy	0	Klay	Y	"0000-00-00 00:00:00"	davidjhealy	LR03-000019	"Private - non profit"	N	efb43807-cf61-4960-b25c-e6d9adadbccd	N/A	"Elfrlela K. Hodge"	-10.95	6.74	0	Lonestar;Comium	284948.96	745358.15	Y	N/A	"Guthrie Plantation"	Clinic	22	"""{\""type\"":\""Point\"",\""coordinates\"":[-10.945599999586,6.7393000000369],\""crs\"":{\""type\"":\""name\"",\""properties\"":{\""name\"":\""EPSG:4326\""}}}"""	LR	6925	Klay	ADM1
N			0	77046044.00	Bong	"0000-00-00 00:00:00"	davidjhealy	0	Panta-Kpa	N	"0000-00-00 00:00:00"	davidjhealy	LR06-000037	Africare-Liberia	Y	9ff917fa-4576-4449-9341-4d8da0f43e67	N/A	"Garmai  S. Browne"	-9.23	6.98	0	Cellcom	474407.15	771146.25	N	N/A	Kpaii	Clinic	23	"""{\""type\"":\""Point\"",\""coordinates\"":[-9.2317000003505,6.9764000004439],\""crs\"":{\""type\"":\""name\"",\""properties\"":{\""name\"":\""EPSG:4326\""}}}"""	LR	0		
N			0	0.00	Bong	"0000-00-00 00:00:00"	davidjhealy	0	Panta-Kpa	N	"0000-00-00 00:00:00"	davidjhealy	LR06-000019	SC-UK	Y	0fbf0149-cf2d-47af-96cc-4ffa111382ce	N/A	"Joseph Kerkula"	-9.23	7.13	0	None	474945.43	787794.47	N	N/A	Foequelleh	Clinic	24	"""{\""type\"":\""Point\"",\""coordinates\"":[-9.2268999999958,7.1269999999481],\""crs\"":{\""type\"":\""name\"",\""properties\"":{\""name\"":\""EPSG:4326\""}}}"""	LR	0		
N			0	6845165.00	Bong	"0000-00-00 00:00:00"	davidjhealy	0	Panta-Kpa	N	"0000-00-00 00:00:00"	davidjhealy	LR06-000023	Africare-Liberia	Y	c614e089-093e-4540-85e6-9f29e04fff96	N/A	"Angeline Korsor"	-9.20	6.92	0	Lonestar	477884.14	765440.44	N	N/A	Zebay	Clinic	25	"""{\""type\"":\""Point\"",\""coordinates\"":[-9.2002000001167,6.924799999942],\""crs\"":{\""type\"":\""name\"",\""properties\"":{\""name\"":\""EPSG:4326\""}}}"""	LR	0		
Y			0	6470419.00	Bong	"0000-00-00 00:00:00"	davidjhealy	0	Panta-Kpa	Y	"0000-00-00 00:00:00"	davidjhealy	LR06-000022	MDM	Y	7164057a-d515-459c-b488-ebff8a5b4faa	N/A	"J. Adadius Dayi"	-9.29	7.00	0	Lonestar;Cellcom;Comium	468300.55	773968.58	N	N/A	Palala	Clinic	26	"""{\""type\"":\""Point\"",\""coordinates\"":[-9.2870000001671,7.00189999992],\""crs\"":{\""type\"":\""name\"",\""properties\"":{\""name\"":\""EPSG:4326\""}}}"""	LR	0		
N			0	6325901.00	Bong	"0000-00-00 00:00:00"	davidjhealy	0	Kokoyah	N	"0000-00-00 00:00:00"	davidjhealy	LR06-000016	Africare-Liberia	Y	cd1d624a-1052-46fb-8bc8-86c93d3c2007	N/A	"Peter G. Kwehmie"	-9.38	6.65	0	Lonestar	458340.76	735460.65	N	N/A	Botota	Clinic	27	"""{\""type\"":\""Point\"",\""coordinates\"":[-9.3768999996681,6.6535000001034],\""crs\"":{\""type\"":\""name\"",\""properties\"":{\""name\"":\""EPSG:4326\""}}}"""	LR	6942	Kokoyah	ADM1
N			0	6688843.00	Bong	"0000-00-00 00:00:00"	davidjhealy	0	Salala	N	"0000-00-00 00:00:00"	davidjhealy	LR06-000029	Africare-Liberia	Y	c6553ff0-07bf-4f81-a8f1-55a2942bd950	N/A	"Jonathan K. Bakkah"	-9.87	6.65	0	None	403569.68	735607.22	N	N/A	Tokpaipolu	Clinic	28	"""{\""type\"":\""Point\"",\""coordinates\"":[-9.8723999997503,6.6542000001432],\""crs\"":{\""type\"":\""name\"",\""properties\"":{\""name\"":\""EPSG:4326\""}}}"""	LR	7390	Salala	ADM1
Y			0	6641331.00	Bong	"0000-00-00 00:00:00"	davidjhealy	0	Zota	Y	"0000-00-00 00:00:00"	davidjhealy	LR06-000005	MDM	Y	9eb14d03-bb8f-4476-8f71-df479b5182b4	N/A	"Yammah Yarkpazuo"	-9.44	7.26	0	Lonestar;Cellcom;Comium	451859.28	802801.71	Y	N/A	Belefanai	Clinic	29	"""{\""type\"":\""Point\"",\""coordinates\"":[-9.4361000003638,7.2625999995526],\""crs\"":{\""type\"":\""name\"",\""properties\"":{\""name\"":\""EPSG:4326\""}}}"""	LR	5651	Zota	ADM2
Y			0	6259205.00	Bong	"0000-00-00 00:00:00"	davidjhealy	0	Salala	Y	"0000-00-00 00:00:00"	davidjhealy	LR06-000031	SC-UK	Y	aa2468c9-1feb-4ea2-bd11-3b5174a84163	N/A	"Elizabeth K. Tange"	-9.94	6.81	0	Lonestar;Cellcom	395931.28	752923.93	Y	N/A	Totota	Clinic	30	"""{\""type\"":\""Point\"",\""coordinates\"":[-9.94179999972,6.8106999995761],\""crs\"":{\""type\"":\""name\"",\""properties\"":{\""name\"":\""EPSG:4326\""}}}"""	LR	7390	Salala	ADM1
N			0	6543525.00	Bong	"0000-00-00 00:00:00"	davidjhealy	0	Fuamah	N	"0000-00-00 00:00:00"	davidjhealy	LR06-000036	Africare-Liberia	Y	a0c20857-565e-412c-97d5-9f6cec714a3d	N/A	"Albertha C. Gonwah"	-10.39	6.89	0	Lonestar	346930.34	761578.60	N	N/A	Haindii	Clinic	31	"""{\""type\"":\""Point\"",\""coordinates\"":[-10.385400000024,6.8878999999521],\""crs\"":{\""type\"":\""name\"",\""properties\"":{\""name\"":\""EPSG:4326\""}}}"""	LR	5562	Fuamah	ADM2
N			0	6434026.00	Bong	"0000-00-00 00:00:00"	davidjhealy	0	Fuamah	Y	"0000-00-00 00:00:00"	davidjhealy	LR06-000009	Africare-Liberia	Y	b12f3e55-ed58-4736-977c-da37f7f2a1c0	N/A	"Alexander T. Kollie"	-10.36	6.81	0	Lonestar;Comium	350065.70	752657.09	Y	N/A	"Bong Mines OPD"	Clinic	32	"""{\""type\"":\""Point\"",\""coordinates\"":[-10.356799999637,6.8073000000363],\""crs\"":{\""type\"":\""name\"",\""properties\"":{\""name\"":\""EPSG:4326\""}}}"""	LR	5562	Fuamah	ADM2
Y			0	5673316.00	Bong	"0000-00-00 00:00:00"	davidjhealy	0	Fuamah	--EMPTY--	"0000-00-00 00:00:00"	davidjhealy	LR06-000020	"MOHSW only"	Y	3edbc2b3-9618-4dcd-992e-231dc3a4221e	N	"J. Bobobie Moore"	-10.36	6.81	0	Lonestar;Comium	350065.70	752657.09	N/A	74	"Bong Mines Medical Center"	Hospital	33	"""{\""type\"":\""Point\"",\""coordinates\"":[-10.356799999637,6.8073000000363],\""crs\"":{\""type\"":\""name\"",\""properties\"":{\""name\"":\""EPSG:4326\""}}}"""	LR	5562	Fuamah	ADM2
Y			0	6841646.00	Bong	"0000-00-00 00:00:00"	davidjhealy	0	Salala	Y	"0000-00-00 00:00:00"	davidjhealy	LR06-000033	Africare-Liberia	Y	dc797c60-0b0d-4d65-9837-1ad3ef189020	N/A	"Miatta Nekeyee"	-10.10	7.75	0	Lonestar;Cellcom;Comium	378656.00	746244.00	Y	N/A	Salala	Clinic	34	"""{\""type\"":\""Point\"",\""coordinates\"":[-10.099305256689,6.7559842996778],\""crs\"":{\""type\"":\""name\"",\""properties\"":{\""name\"":\""EPSG:4326\""}}}"""	LR	7390	Salala	ADM1
N			0	6672616.00	Bong	"0000-00-00 00:00:00"	davidjhealy	0	Sanayea	N	"0000-00-00 00:00:00"	davidjhealy	LR06-000027	SC-UK	Y	63554ae0-07fd-47ce-b8c8-59148c272cd7	N/A	"J. Mulbah Tellewoyan"	-9.98	6.97	0	Lonestar	391581.24	771031.64	N	N/A	Sanoyea	Clinic	35	"""{\""type\"":\""Point\"",\""coordinates\"":[-9.9814999995608,6.9743999997128],\""crs\"":{\""type\"":\""name\"",\""properties\"":{\""name\"":\""EPSG:4326\""}}}"""	LR	0		
N			0	6561494.00	Bong	"0000-00-00 00:00:00"	davidjhealy	0	Suakoko	Y	"0000-00-00 00:00:00"	davidjhealy	LR06-000028	Africare-Liberia	Y	edd28b09-a2f5-4961-a495-638cb394d7eb	N/A	"A.Welehou Duo"	-9.69	6.68	0	None	423592.42	738328.34	Y	N/A	Fenutoli	Clinic	36	"""{\""type\"":\""Point\"",\""coordinates\"":[-9.6912999997865,6.6791000004424],\""crs\"":{\""type\"":\""name\"",\""properties\"":{\""name\"":\""EPSG:4326\""}}}"""	LR	5626	Suakoko	ADM2
N			0	6450589.00	Bong	"0000-00-00 00:00:00"	davidjhealy	0	Suakoko	Y	"0000-00-00 00:00:00"	davidjhealy	LR06-000025	Africare-Liberia	Y	9b67eebe-bd56-4697-aaa7-8e1b3cef371e	N/A	"Saluyah M. Dukuly"	-9.75	7.01	0	None	417337.04	774367.44	N	N/A	"Gbanla Community"	Clinic	37	"""{\""type\"":\""Point\"",\""coordinates\"":[-9.7483999997655,7.0049999997926],\""crs\"":{\""type\"":\""name\"",\""properties\"":{\""name\"":\""EPSG:4326\""}}}"""	LR	5626	Suakoko	ADM2
N			0	6550454.00	Bong	"0000-00-00 00:00:00"	davidjhealy	0	Suakoko	N	"0000-00-00 00:00:00"	davidjhealy	LR06-000032	SC-UK	Y	b38d06a4-f5ea-45f3-a81d-ae6c1a8e2d5a	N/A	"Taywah Bombo"	-9.68	6.89	0	Lonestar;Cellcom;Libercell	425039.92	761686.24	N	N/A	Gbartala	Clinic	38	"""{\""type\"":\""Point\"",\""coordinates\"":[-9.6785000002089,6.8903999999239],\""crs\"":{\""type\"":\""name\"",\""properties\"":{\""name\"":\""EPSG:4326\""}}}"""	LR	5626	Suakoko	ADM2
Y			0	77788869.00	Bong	"0000-00-00 00:00:00"	davidjhealy	0	Zota	Y	"0000-00-00 00:00:00"	davidjhealy	LR06-000004	MDM	Y	51b722b0-46c2-4e2b-8785-2d870f7db2db	N/A	"Kesselee D. Kamara"	-9.34	7.37	0	None	462962.52	814831.15	N	N/A	Shankpallai	Clinic	39	"""{\""type\"":\""Point\"",\""coordinates\"":[-9.3355999995787,7.3715000003154],\""crs\"":{\""type\"":\""name\"",\""properties\"":{\""name\"":\""EPSG:4326\""}}}"""	LR	5651	Zota	ADM2
Y			0	880517235.00	Bong	"0000-00-00 00:00:00"	davidjhealy	0	Panta-Kpa	Y	"0000-00-00 00:00:00"	davidjhealy	LR06-000003	MDM	Y	8ecd52ed-4d70-4e42-bf3c-457c3b95048b	N/A	"Kezeele T. Mulbah"	-9.23	7.36	0	None	474251.71	813077.28	N	N/A	Jorwah	Clinic	40	"""{\""type\"":\""Point\"",\""coordinates\"":[-9.2332999999227,7.355699999665],\""crs\"":{\""type\"":\""name\"",\""properties\"":{\""name\"":\""EPSG:4326\""}}}"""	LR	0		
N			0	6640440.00	Bong	"0000-00-00 00:00:00"	davidjhealy	0	Suakoko	N	"0000-00-00 00:00:00"	davidjhealy	LR06-000030	SC-UK	Y	c3c83f3a-f15b-4dbe-a1e6-a2afefdbe998	N/A	"Naomi P. Kolleh"	-9.76	6.88	0	Lonestar;Cellcom	415967.47	760682.80	N	N/A	Zeanzue	Clinic	41	"""{\""type\"":\""Point\"",\""coordinates\"":[-9.760599999664,6.8812000001711],\""crs\"":{\""type\"":\""name\"",\""properties\"":{\""name\"":\""EPSG:4326\""}}}"""	LR	5626	Suakoko	ADM2
N			0	6428629.00	Bong	"0000-00-00 00:00:00"	davidjhealy	0	Jorquelleh	N	"0000-00-00 00:00:00"	davidjhealy	LR06-000018	Africare-Liberia	Y	2e3ede4b-5213-45f2-b729-b8cea0f098e3	N/A	"Emmanuel s nawoh"	-9.53	6.70	0	Lonestar	441456.57	740495.08	N	N/A	Janyea	Clinic	42	"""{\""type\"":\""Point\"",\""coordinates\"":[-9.5296999999025,6.698900000246],\""crs\"":{\""type\"":\""name\"",\""properties\"":{\""name\"":\""EPSG:4326\""}}}"""	LR	5586	Jorquelleh	ADM2
N			0	6406726.00	Bong	"0000-00-00 00:00:00"	davidjhealy	0	Sanayea	N	"0000-00-00 00:00:00"	davidjhealy	LR06-000026	Africare-Liberia	Y	0aa60ecb-7da8-4bb2-a60e-e51543eb7303	N/A	"Gloria P. Worjloh"	-9.78	7.11	0	None	413677.95	785838.18	N	N/A	Gbonota	Clinic	43	"""{\""type\"":\""Point\"",\""coordinates\"":[-9.7816999998043,7.1086999999106],\""crs\"":{\""type\"":\""name\"",\""properties\"":{\""name\"":\""EPSG:4326\""}}}"""	LR	0		
Y			0	6538417.00	Bong	"0000-00-00 00:00:00"	davidjhealy	0	Jorquelleh	Y	"0000-00-00 00:00:00"	davidjhealy	LR06-000010	MDM	Y	fe8ce44a-5f69-49bb-86cf-55ca9b1d10e2	N/A	"Gertrude  sieh"	-9.44	6.78	0	None	451102.85	749926.39	N	N/A	Samay	Clinic	44	"""{\""type\"":\""Point\"",\""coordinates\"":[-9.4424999996585,6.7843000003171],\""crs\"":{\""type\"":\""name\"",\""properties\"":{\""name\"":\""EPSG:4326\""}}}"""	LR	5586	Jorquelleh	ADM2
N			0	6688725.00	Bong	"0000-00-00 00:00:00"	davidjhealy	0	Zota	N	"0000-00-00 00:00:00"	davidjhealy	LR06-000038	Africare-Liberia	Y	e9bfa224-34ed-4d10-8074-4d1bec6e1ead	N/A	"Lucy Z. Kargou"	-9.35	7.26	0	Lonestar;Cellcom	461142.75	802285.11	N	N/A	Naama	Clinic	45	"""{\""type\"":\""Point\"",\""coordinates\"":[-9.3519999998987,7.2579999996663],\""crs\"":{\""type\"":\""name\"",\""properties\"":{\""name\"":\""EPSG:4326\""}}}"""	LR	5651	Zota	ADM2
Y			0	6965462.00	Bong	"0000-00-00 00:00:00"	davidjhealy	0	Kokoyah	Y	"0000-00-00 00:00:00"	davidjhealy	LR06-000017	MDM	Y	5aa7c3bc-acbc-46da-920b-b35391c003ec	N/A	"Roosevelt d kerkula"	-9.43	6.67	0	Lonestar	452086.05	737135.05	Y	N/A	Gbecohn	Clinic	46	"""{\""type\"":\""Point\"",\""coordinates\"":[-9.4335000000264,6.6685999996668],\""crs\"":{\""type\"":\""name\"",\""properties\"":{\""name\"":\""EPSG:4326\""}}}"""	LR	6942	Kokoyah	ADM1
Y			0	6771261.00	Bong	"0000-00-00 00:00:00"	davidjhealy	0	Kokoyah	Y	"0000-00-00 00:00:00"	davidjhealy	LR06-000015	MDM	Y	e118c88b-332e-47bc-9ab1-035f1005e273	N/A	"Joseph w w jholoplay"	-9.30	6.71	0	Lonestar	467386.10	741777.76	N	N/A	Bah-ta	Clinic	47	"""{\""type\"":\""Point\"",\""coordinates\"":[-9.2950999997306,6.7107000003168],\""crs\"":{\""type\"":\""name\"",\""properties\"":{\""name\"":\""EPSG:4326\""}}}"""	LR	6942	Kokoyah	ADM1
N			0	6777520.00	Bong	"0000-00-00 00:00:00"	davidjhealy	0	Zota	Y	"0000-00-00 00:00:00"	davidjhealy	LR06-000002	Africare-Liberia	Y	54a18fb2-5c25-40a7-84d4-da5c0c7bad21	N/A	"J. Tarnue Kokolokoi"	-9.51	7.31	0	Lonestar	443575.07	808293.76	N	N/A	Gbalatuah	Clinic	48	"""{\""type\"":\""Point\"",\""coordinates\"":[-9.5111999999091,7.3122000003197],\""crs\"":{\""type\"":\""name\"",\""properties\"":{\""name\"":\""EPSG:4326\""}}}"""	LR	5651	Zota	ADM2
